word	occu	freq-per-mill	usual	rank	racio
trabalho	2	688.47	8643.04	113	0.08
marcante	2	688.47	145.93	6850	4.72
calhar	2	688.47	74.28	13459	9.27
conheci	2	688.47	164.32	6083	4.19
testemunho	2	688.47	162.66	6145	4.23
social	2	688.47	2295.16	316	0.30
sim	2	688.47	2233.64	445	0.31
keffiyeh	2	688.47	1.00	OFV	688.47
dois	2	688.47	7710.10	127	0.09
hoje	2	688.47	6035.00	163	0.11
comigo	2	688.47	610.61	1635	1.13
ideia	2	688.47	1613.68	617	0.43
representar	2	688.47	704.37	4005	0.98
além	2	688.47	5998.80	164	0.11
mundo	2	688.47	8149.96	120	0.08
vir	2	688.47	2859.59	1374	0.24
vês	2	688.47	27.33	36583	25.19
choque	2	688.47	175.08	5709	3.93
“	2	688.47	23980.82	39	0.03
”	2	688.47	23419.20	40	0.03
tocar	2	688.47	270.58	2903	2.54
evoluir	2	688.47	8.08	8534	85.23
25	2	688.47	1746.11	570	0.39
popular	2	688.47	550.39	1388	1.25
consiga	2	688.47	194.94	5127	3.53
ativistar	2	688.47	65.88	OFV	10.45
meia	2	688.47	301.37	1999	2.28
conselho	2	688.47	310.30	3220	2.22
saber	2	688.47	2641.83	283	0.26
comunidade	2	688.47	413.96	764	1.66
podes-te	1	344.23	1.00	OFV	344.24
brevemente	1	344.23	79.61	12558	4.32
nome	1	344.23	4679.46	211	0.07
mora	1	344.23	7.51	3600	45.83
estás	1	344.23	90.85	11004	3.79
Teresa	1	344.23	150.84	6627	2.28
Amorim	1	344.23	99.67	10030	3.45
26	1	344.23	924.47	1079	0.37
oficial	1	344.23	1171.37	851	0.29
justiça	1	344.23	1381.79	1589	0.25
Tribunal	1	344.23	1052.96	947	0.33
Matosinhos	1	344.23	45.82	21824	7.51
secção	1	344.23	108.03	9254	3.19
especializar	1	344.23	332.26	34278	1.04
violência	1	344.23	735.46	1357	0.47
doméstico	1	344.23	135.43	8474	2.54
entrevista	1	344.23	787.59	1267	0.44
vai-se	1	344.23	34.44	29032	9.99
focar	1	344.23	116.69	8567	2.95
basicamente	1	344.23	255.06	3918	1.35
volta	1	344.23	2661.70	373	0.13
2016	1	344.23	2151.93	462	0.16
deprimido	1	344.23	24.04	32088	14.32
desencantar	1	344.23	6.02	148793	57.17
direito	1	344.23	3475.84	285	0.10
criminologia	1	344.23	16.02	62435	21.49
2017	1	344.23	2349.07	423	0.15
espaço	1	344.23	3167.56	313	0.11
mental	1	344.23	352.15	2837	0.98
lista	1	344.23	1551.11	642	0.22
oposição	1	344.23	366.88	2723	0.94
eleição	1	344.23	679.95	2101	0.51
académico	1	344.23	41.58	22543	8.28
política	1	344.23	2388.34	416	0.14
envolvi	1	344.23	15.39	64970	22.37
sério	1	344.23	358.85	2784	0.96
Feminista	1	344.23	76.55	50529	4.50
Internacional	1	344.23	980.68	1120	0.35
2018	1	344.23	2803.48	354	0.12
2019	1	344.23	450.71	2216	0.76
Comecei	1	344.23	337.53	9498	1.02
