palavra,ocorrencias,freq_per_mill,usual,ranking,ratio
presencial,1,1956.95,0.01,9107.0,195694.72
viu,1,1956.95,0.01,1497.0,195694.72
ficou,1,1956.95,0.01,420.0,195694.72
sentisse,1,1956.95,0.01,30975.0,195694.72
mesma,1,1956.95,0.01,277.0,195694.72
agradeço,1,1956.95,0.01,6983.0,195694.72
ficamos,1,1956.95,0.01,4668.0,195694.72
passou,1,1956.95,0.01,616.0,195694.72
minuto,1,1956.95,0.01,4254.0,195694.72
estamos,1,1956.95,0.01,655.0,195694.72
acordar,1,1956.95,0.01,6671.0,195694.72
dividir,1,1956.95,0.01,5317.0,195694.72
rotina,1,1956.95,0.01,2329.0,195694.72
desfrutar,1,1956.95,0.01,4520.0,195694.72
ajudar,1,1956.95,0.01,559.0,195694.72
várias,1,1956.95,0.01,377.0,195694.72
inteligência,1,1956.95,0.01,2817.0,195694.72
honestidade,1,1956.95,0.01,11659.0,195694.72
positividade,1,1956.95,0.01,35616.0,195694.72
revelam,1,1956.95,0.01,8001.0,195694.72
aniversários,1,1956.95,0.01,19735.0,195694.72
cantada,1,1956.95,0.01,18300.0,195694.72
foto,1,1956.95,0.01,1033.0,195694.72
distantes,1,1956.95,0.01,8099.0,195694.72
período,1,1956.95,0.01,314.0,195694.72
aliás,1,1956.95,0.01,4279.0,195694.72
assustador,1,1956.95,0.01,13928.0,195694.72
diversas,1,1956.95,0.01,541.0,195694.72
admirável,1,1956.95,0.01,18201.0,195694.72
defeitos,1,1956.95,0.01,6291.0,195694.72
combinam,1,1956.95,0.01,11743.0,195694.72
perdíamos,1,1956.95,0.01,156038.0,195694.72
tema,1,1956.95,0.01,593.0,195694.72
planejamento,1,1956.95,0.01,1756.0,195694.72
paciência,1,1956.95,0.01,4152.0,195694.72
terem,1,1956.95,0.01,1879.0,195694.72
diria,1,1956.95,0.01,6085.0,195694.72
chamei,1,1956.95,0.01,27647.0,195694.72
daria,1,1956.95,0.01,7203.0,195694.72
juntos,1,1956.95,0.01,1624.0,195694.72
empatia,1,1956.95,0.01,10883.0,195694.72
respeito,1,1956.95,0.01,566.0,195694.72
continuemos,1,1956.95,0.01,55417.0,195694.72
estejamos,1,1956.95,0.01,21009.0,195694.72
espero,1,1956.95,0.01,2525.0,195694.72
primeiramente,1,1956.95,0.01,7397.0,195694.72
mente,1,1956.95,0.01,1259.0,195694.72
pensa,1,1956.95,0.01,2951.0,195694.72
admiração,1,1956.95,0.01,9268.0,195694.72
engraçadinha,1,1956.95,0.01,128525.0,195694.72
namoradas,1,1956.95,0.01,34503.0,195694.72
leve,1,1956.95,0.01,1369.0,195694.72
sono,1,1956.95,0.01,2972.0,195694.72
conversa,1,1956.95,0.01,1874.0,195694.72
acho,1,1956.95,0.01,697.0,195694.72
fica,1,1956.95,0.01,312.0,195694.72
quis,1,1956.95,0.01,2944.0,195694.72
cabelo,1,1956.95,0.01,1077.0,195694.72
mexendo,1,1956.95,0.01,10495.0,195694.72
dormir,1,1956.95,0.01,2510.0,195694.72
peculiar,1,1956.95,0.01,10762.0,195694.72
acostumou,1,1956.95,0.01,48821.0,195694.72
estranho,1,1956.95,0.01,3193.0,195694.72
comentei,1,1956.95,0.01,17507.0,195694.72
achou,1,1956.95,0.01,5673.0,195694.72
internet,1,1956.95,0.01,613.0,195694.72
diferentes,1,1956.95,0.01,336.0,195694.72
amam,1,1956.95,0.01,9253.0,195694.72
pessoas,1,1956.95,0.01,87.0,195694.72
sabia,1,1956.95,0.01,1550.0,195694.72
precisava,1,1956.95,0.01,3968.0,195694.72
sinta,1,1956.95,0.01,7812.0,195694.72
conhecemos,1,1956.95,0.01,5481.0,195694.72
descrever,1,1956.95,0.01,5658.0,195694.72
apesar,1,1956.95,0.01,787.0,195694.72
gosto,1,1956.95,0.01,828.0,195694.72
particularidades,1,1956.95,0.01,13506.0,195694.72
qualidades,1,1956.95,0.01,5210.0,195694.72
nome,1,1956.95,0.01,211.0,195694.72
lembramos,1,1956.95,0.01,23940.0,195694.72
escolhemos,1,1956.95,0.01,14611.0,195694.72
datas,1,1956.95,0.01,3554.0,195694.72
amigas,1,1956.95,0.01,4151.0,195694.72
salgadinho,1,1956.95,0.01,60754.0,195694.72
momentos,4,7827.79,460.0,819.0,17.02
importantes,4,7827.79,480.0,783.0,16.31
pro,4,7827.79,500.0,1998.0,15.66
hoje,4,7827.79,530.0,163.0,14.77
vida,4,7827.79,550.0,90.0,14.23
juntas,4,7827.79,580.0,5482.0,13.5
amor,4,7827.79,600.0,357.0,13.05
distância,6,11741.68,900.0,1294.0,13.05
pessoa,5,9784.74,800.0,244.0,12.23
história,4,7827.79,650.0,200.0,12.04
pra,10,19569.47,1700.0,161.0,11.51
dias,5,9784.74,850.0,144.0,11.51
fosse,4,7827.79,700.0,654.0,11.18
certo,4,7827.79,730.0,573.0,10.72
mim,4,7827.79,750.0,380.0,10.44
dia,8,15655.58,1500.0,67.0,10.44
gente,7,13698.63,1400.0,309.0,9.78
coisas,6,11741.68,1300.0,269.0,9.03
ficar,1,1956.95,3300.0,325.0,0.59
