palavra,lema,pos,entidade,dependencia,ranking
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Quem,quem,PRON,-,det,753
cozinha,cozinha,NOUN,-,ROOT,1035
melhor,bom,ADJ,-,amod,118
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Eu,eu,PRON,-,nsubj,171
cozinho,cozinho,NOUN,-,ROOT,78355
melhor,bom,ADJ,-,amod,118
.,.,PUNCT,-,punct,3
Porque,porque,SCONJ,-,mark,1560
eu,eu,PRON,-,nsubj,63
estou,estar,AUX,-,aux,381
sempre,sempre,ADV,-,advmod,100
fazendo,fazer,VERB,-,ROOT,490
as,o,DET,-,det,23
coisinhas,coisinha,NOUN,-,obj,17565
que,que,PRON,-,obj,7
você,você,PRON,-,nsubj,54
gosta,gostar,VERB,-,acl:relcl,1418
de,de,SCONJ,-,mark,2
comer,comer,VERB,-,xcomp,1454
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Quem,quem,PRON,MISC,nsubj,753
é,ser,AUX,-,cop,14
mais,mais,ADV,-,advmod,25
bagunceira,bagunceiro,ADJ,-,acl:relcl,156449
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Nenhuma,nenhuma,NOUN,-,appos,9347
.,.,PUNCT,-,punct,3
Tanto,tanto,CCONJ,-,det,4281
você,você,PRON,-,ROOT,54
quanto,quanto,ADV,-,mark,260
eu,eu,PRON,-,nsubj,63
não,não,ADV,-,advmod,21
somos,ser,AUX,-,cop,1147
muito,muito,ADV,-,advmod,50
organizadas,organizado,VERB,-,acl,10282
em,em,ADP,-,case,10
tudo,tudo,PRON,-,obl,109
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Quem,quem,PRON,-,nsubj,753
manda,mandar,VERB,-,ROOT,5516
mensagem,mensagem,NOUN,-,obj,1216
primeiro,primeiro,ADV,-,advmod,153
na,em o,ADP,-,case,20
maioria,maioria,NOUN,-,obl,421
das,de o,ADP,-,case,34
vezes,vez,NOUN,-,nmod,179
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Você,Você,PROPN,-,ROOT,268
.,.,PUNCT,-,punct,3
Porque,porque,SCONJ,-,mark,1560
eu,eu,PRON,-,nsubj,63
sou,ser,AUX,-,cop,525
mais,mais,ADV,-,advmod,25
orgulhosa,orgulhoso,ADJ,-,ROOT,20741
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,PER,ROOT,384736
:,:,PUNCT,-,punct,27
Quem,quem,PRON,-,nsubj,753
tem,ter,VERB,-,acl:relcl,52
a,o,DET,-,det,5
risada,risada,NOUN,-,obj,17454
mais,mais,ADV,-,advmod,25
engraçada,engraçado,ADJ,-,amod,16690
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Você,Você,PRON,-,ROOT,268
.,.,PUNCT,-,punct,3
Por,por,ADP,-,case,156
quê,quê,PRON,-,ROOT,4154
?,?,PUNCT,-,punct,49
Não,não,INTJ,-,ROOT,102
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Quem,quem,PRON,-,nsubj,753
é,ser,AUX,-,cop,14
mais,mais,ADV,-,advmod,25
carinhosa,carinhoso,ADJ,-,acl:relcl,21335
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,MISC,ROOT,178437
:,:,PUNCT,MISC,punct,27
Vou,Vou,AUX,-,aux,2557
considerar,considerar,VERB,-,ROOT,2845
que,que,SCONJ,-,mark,7
eu,eu,PRON,-,nsubj,63
sou,ser,AUX,-,cop,525
mais,mais,ADV,-,advmod,25
carinhosa,carinhoso,ADJ,-,ccomp,21335
.,.,PUNCT,-,punct,3
Você,você,PRON,-,nsubj,268
também,também,ADV,-,advmod,48
é,ser,AUX,-,cop,14
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
o,o,DET,-,det,6
seu,seu,DET,-,det,42
carinho,carinho,NOUN,-,nsubj,2385
é,ser,AUX,-,cop,14
um,um,DET,-,det,13
pouco,pouco,ADV,-,fixed,182
bruto,bruto,ADJ,-,ROOT,11089
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Quem,quem,PRON,MISC,nsubj,753
é,ser,AUX,-,cop,14
mais,mais,ADV,-,advmod,25
ciumenta,ciumento,ADJ,-,acl:relcl,58914
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Eu,eu,PRON,-,nsubj,171
sou,ser,AUX,-,cop,525
mais,mais,ADV,-,advmod,25
ciumenta,ciumento,ADJ,-,ROOT,58914
.,.,PUNCT,-,punct,3
Porque,porque,SCONJ,-,mark,1560
você,você,PRON,-,nsubj,54
é,ser,AUX,-,cop,14
uma,um,DET,-,det,15
pessoa,pessoa,NOUN,-,ROOT,244
muito,muito,ADV,-,advmod,50
tranquila,tranquilo,ADJ,-,amod,5112
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Quem,quem,PRON,MISC,nsubj,753
é,ser,AUX,-,cop,14
mais,mais,ADV,-,advmod,25
engraçadinha,engraçadinha,ADJ,-,acl:relcl,128525
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Eu,eu,PRON,-,nsubj,171
sou,ser,AUX,-,cop,525
mais,mais,ADV,-,advmod,25
engraçada,engraçado,ADJ,-,ROOT,16690
.,.,PUNCT,-,punct,3
Apesar,apesar,ADV,-,mark,891
de,de,ADP,-,fixed,2
que,que,SCONJ,-,mark,7
você,você,PRON,-,nsubj,54
também,também,ADV,-,advmod,48
tem,ter,VERB,-,ROOT,52
um,um,DET,-,det,13
bom,bom,ADJ,-,obj,216
humor,humor,NOUN,-,amod,2915
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,PER,ROOT,384736
:,:,PUNCT,-,punct,27
Quem,quem,PRON,-,nsubj,753
lembra,lembrar,VERB,-,acl:relcl,2772
mais,mais,DET,-,det,25
datas,data,NOUN,-,obj,3554
importantes,importante,ADJ,-,amod,783
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Nós,nós,PRON,-,nsubj,1115
duas,dois,NUM,-,nummod,177
lembramos,lembrar,VERB,-,ROOT,23940
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Quem,quem,PRON,MISC,nsubj,753
é,ser,AUX,-,cop,14
mais,mais,ADV,-,advmod,25
fitness,fitness,ADJ,-,acl:relcl,10513
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Você,Você,PRON,-,nsubj,268
é,ser,AUX,-,cop,14
mais,mais,ADV,-,advmod,25
fitness,fitness,ADJ,-,ROOT,10513
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
eu,eu,PRON,-,nsubj,63
gosto,gostar,VERB,-,ROOT,828
de,de,ADP,-,case,2
tudo,tudo,PRON,-,det,109
muito,muito,ADV,-,advmod,50
salgadinho,salgadinho,NOUN,-,xcomp,60754
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
",",",",PUNCT,-,punct,0
eu,eu,PRON,-,nsubj,63
gostaria,gostar,VERB,-,acl:relcl,1459
de,de,SCONJ,-,mark,2
te,te,PRON,-,obj,398
pedir,pedir,VERB,-,xcomp,1649
para,para,SCONJ,-,mark,11
descrever,descrever,VERB,-,advcl,5658
a,o,DET,-,det,5
nossa,nosso,DET,-,det,190
relação,relação,NOUN,-,obj,249
.,.,PUNCT,-,punct,3
O,o,PRON,-,nsubj,28
que,que,PRON,-,obj,7
nós,nós,PRON,-,nsubj,237
somos,ser,AUX,-,cop,1147
para,para,ADP,-,case,11
você,você,PRON,-,ROOT,54
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Somos,Somos,AUX,-,cop,3419
a,o,DET,-,det,5
junção,junção,NOUN,-,ROOT,11749
de,de,ADP,-,case,2
duas,dois,NUM,-,nummod,177
pessoas,pessoa,NOUN,-,nmod,87
que,que,PRON,-,nsubj,7
se,se,PRON,-,expl,24
amam,amar,VERB,-,acl:relcl,9253
muito,muito,ADV,-,advmod,50
.,.,PUNCT,-,punct,3
Diferentes,diferente,DET,-,ROOT,22040
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
que,que,PRON,-,nsubj,7
combinam,combinar,VERB,-,conj,11743
em,em,ADP,-,case,10
muitas,muito,DET,-,det,245
coisas,coisa,NOUN,-,obl,269
.,.,PUNCT,-,punct,3
A,o,DET,-,det,31
junção,junção,NOUN,-,ROOT,11749
de,de,ADP,-,case,2
tudo,tudo,PRON,-,nmod,109
que,que,PRON,-,obj,7
eu,eu,PRON,-,nsubj,63
sempre,sempre,ADV,-,advmod,100
quis,querer,VERB,-,acl:relcl,2944
viver,viver,VERB,-,xcomp,976
e,e,CCONJ,-,cc,4
nem,nem,CCONJ,-,cc,180
sabia,saber,VERB,-,conj,1550
que,que,SCONJ,-,mark,7
precisava,precisar,VERB,-,ccomp,3968
.,.,PUNCT,-,punct,3
Estar,estar,VERB,-,aux,9865
com,com,ADP,-,mark,12
você,você,PRON,-,nsubj,54
faz,fazer,VERB,-,ROOT,188
com,com,SCONJ,-,mark,12
que,que,SCONJ,-,mark,7
eu,eu,PRON,-,nsubj,63
me,eu,PRON,-,obj,86
sinta,sinta,VERB,-,advcl,7812
bem,bem,ADV,-,advmod,69
.,.,PUNCT,-,punct,3
Saber,saber,SCONJ,-,nsubj,7281
que,que,SCONJ,-,mark,7
eu,eu,PRON,-,nsubj,63
posso,poder,VERB,-,ccomp,1067
ser,ser,AUX,-,cop,36
o,o,DET,-,det,6
mesmo,mesmo,PRON,-,xcomp,66
é,ser,AUX,-,cop,14
incrível,incrível,ADJ,-,ROOT,1746
.,.,PUNCT,-,punct,3
Nós,nós,PRON,-,nsubj,1115
nos,nós,PRON,-,obj,53
conhecemos,conhecer,VERB,-,ROOT,5481
em,em,ADP,-,case,10
todas,todo,DET,-,det,162
as,o,DET,-,fixed,23
nossas,nosso,DET,-,det,659
particularidades,particularidade,NOUN,-,obl,13506
",",",",PUNCT,-,punct,0
com,com,ADP,-,case,12
todas,todo,DET,-,det,162
as,o,DET,-,fixed,23
qualidades,qualidade,NOUN,-,obl,5210
e,e,CCONJ,-,cc,4
defeitos,defeito,NOUN,-,conj,6291
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
ainda,ainda,ADV,-,advmod,68
escolhemos,escolher,VERB,-,ROOT,14611
uma,um,NUM,-,obj,15
à,a o,ADP,-,case,43
outra,outro,PRON,-,iobj,253
.,.,PUNCT,-,punct,3
Somos,Somos,AUX,-,cop,3419
amigas,amiga,NOUN,-,ROOT,4151
",",",",PUNCT,-,punct,0
namoradas,namorada,NOUN,-,conj,34503
e,e,CCONJ,-,cc,4
parceiras,parceira,NOUN,-,conj,12639
de,de,ADP,-,case,2
vida,vida,NOUN,-,nmod,90
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
eu,eu,PRON,-,nsubj,63
te,te,PRON,-,obj,398
amo,amar,VERB,-,ROOT,2812
.,.,PUNCT,-,punct,3
