palavra,lema,pos,entidade,dependencia,ranking
o,o,PRON,-,conj,6
que,que,PRON,-,obj,7
ela,ela,PRON,-,nsubj,98
disse,dizer,VERB,-,acl:relcl,204
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,MISC,ROOT,178437
:,:,PUNCT,-,punct,27
A,o,DET,-,det,31
primeira,primeiro,ADJ,-,amod,166
pessoa,pessoa,NOUN,-,ROOT,244
...,...,PUNCT,-,punct,56
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Está,estar,AUX,-,cop,1895
tudo,tudo,PRON,-,obj,109
bem,bem,ADV,-,fixed,69
",",",",PUNCT,-,punct,0
pode,poder,VERB,-,ROOT,60
continuar,continuar,VERB,-,xcomp,1182
.,.,PUNCT,-,punct,3
Entrevistada,entrevistada,NOUN,MISC,ROOT,178437
:,:,PUNCT,-,punct,27
A,o,DET,-,det,31
primeira,primeiro,ADJ,-,amod,166
pessoa,pessoa,NOUN,-,ROOT,244
que,que,PRON,-,obj,7
eu,eu,PRON,-,nsubj,63
contei,contar,VERB,-,acl:relcl,16898
de,de,SCONJ,-,mark,2
você,você,PRON,-,nsubj,54
foi,ser,AUX,-,cop,35
minha,meu,DET,-,det,132
prima,prima,NOUN,-,obj,5836
",",",",PUNCT,-,punct,0
que,que,PRON,-,nsubj,7
mora,morar,VERB,-,acl:relcl,3600
na,em o,ADP,-,case,20
Califórnia,Califórnia,PROPN,LOC,obl,4588
",",",",PUNCT,-,punct,0
nos,em o,ADP,-,case,53
Estados,Estados,PROPN,LOC,obl,506
Unidos,Unidos,PROPN,LOC,flat:name,647
.,.,PUNCT,-,punct,3
A,o,DET,-,det,31
gente,gente,NOUN,-,nsubj,309
chegou,chegar,VERB,-,ROOT,713
a,a,SCONJ,-,mark,5
comentar,comentar,VERB,-,xcomp,4613
porque,porque,SCONJ,-,mark,128
as,o,DET,-,det,23
primeiras,primeiro,ADJ,-,amod,1703
fotos,foto,NOUN,-,obl,639
que,que,PRON,-,obj,7
eu,eu,PRON,-,nsubj,63
vi,ver,VERB,-,acl:relcl,1166
sua,seu,DET,-,xcomp,37
",",",",PUNCT,-,punct,0
",",",",PUNCT,-,punct,0
curtir,curtir,VERB,-,advcl,4611
",",",",PUNCT,-,punct,0
quando,quando,ADV,-,advmod,71
já,já,ADV,-,advmod,57
rolava,rolar,VERB,-,advcl,52725
uma,um,DET,-,det,15
intenção,intenção,NOUN,-,obj,2023
",",",",PUNCT,-,punct,0
foi,ser,VERB,-,advcl,35
quando,quando,ADV,-,advmod,71
você,você,PRON,-,nsubj,54
estava,estar,AUX,-,cop,169
na,em o,ADP,-,case,20
Califórnia,Califórnia,PROPN,LOC,obl,4588
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
depois,depois,ADV,-,advmod,136
disso,de isso,PRON,-,advcl,273
",",",",PUNCT,-,punct,0
ela,ela,PRON,-,nsubj,98
...,...,PUNCT,-,punct,56
que,que,SCONJ,-,mark,7
a,o,DET,-,det,5
gente,gente,NOUN,-,nsubj,309
comentou,comentar,VERB,-,acl:relcl,4064
tudo,tudo,PRON,-,obj,109
",",",",PUNCT,-,punct,0
ela,ela,PRON,-,nsubj,98
falou,falar,VERB,-,ROOT,1811
que,que,SCONJ,-,mark,7
ela,ela,PRON,-,nsubj,98
ficaria,ficar,VERB,-,ccomp,6078
muito,muito,ADV,-,advmod,50
feliz,feliz,ADJ,-,xcomp,952
",",",",PUNCT,-,punct,0
se,se,SCONJ,-,mark,24
desse,de esse,ADP,-,advcl,412
muito,muito,ADV,-,advmod,50
certo,certo,ADJ,-,obj,573
",",",",PUNCT,-,punct,0
até,até,ADP,-,case,59
mesmo,mesmo,ADV,-,advmod,66
pelo,por o,ADP,-,case,45
fato,fato,NOUN,-,obl,378
de,de,SCONJ,-,mark,2
achar,achar,VERB,-,acl,2396
que,que,SCONJ,-,mark,7
você,você,PRON,-,nsubj,54
estava,estar,AUX,-,cop,169
lá,lá,ADV,-,advmod,258
e,e,CCONJ,-,cc,4
ia,ir,AUX,-,aux,1770
ficar,ficar,VERB,-,conj,325
também,também,ADV,-,advmod,48
mais,mais,ADV,-,advmod,25
próxima,próximo,ADJ,-,xcomp,859
dela,de ela,PRON,-,obl,667
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Qual,qual,PRON,-,ROOT,2393
foi,ser,AUX,-,cop,35
o,o,DET,-,det,6
momento,momento,NOUN,-,nsubj,201
em,em,ADP,-,case,10
que,que,PRON,-,obl,7
você,você,PRON,-,nsubj,54
percebeu,perceber,VERB,-,acl:relcl,6006
que,que,SCONJ,-,mark,7
queria,querer,VERB,-,ccomp,975
mesmo,mesmo,ADV,-,advmod,66
investir,investir,VERB,-,xcomp,2233
nesse,em esse,ADP,-,case,543
sentimento,sentimento,NOUN,-,obl,2432
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,MISC,ROOT,178437
:,:,PUNCT,-,punct,27
Mesmo,mesmo,ADV,-,advmod,1220
com,com,ADP,-,case,12
o,o,DET,-,det,6
oceano,oceano,NOUN,-,ROOT,7193
entre,entre,ADP,-,case,65
a,o,DET,-,det,5
gente,gente,NOUN,-,nmod,309
.,.,PUNCT,-,punct,3
Foi,foi,AUX,-,ROOT,344
depois,depois,ADV,-,advmod,136
do,de o,ADP,-,case,8
primeiro,primeiro,ADJ,-,amod,153
contato,contato,NOUN,-,obl,538
que,que,SCONJ,-,mark,7
tivemos,ter,VERB,-,acl:relcl,3137
presencialmente,presencialmente,ADV,-,advmod,27693
.,.,PUNCT,-,punct,3
Tudo,tudo,PRON,-,nsubj,960
fluiu,fluir,VERB,-,ROOT,64769
muito,muito,ADV,-,advmod,50
natural,natural,ADJ,-,obj,666
",",",",PUNCT,-,punct,0
como,como,SCONJ,-,mark,29
se,se,SCONJ,-,fixed,24
já,já,ADV,-,advmod,57
nos,nós,PRON,-,obj,53
conhecíamos,conhecíar,VERB,-,advcl,44425
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
compartilhar,compartilhar,VERB,-,advcl,2401
cada,cada,DET,-,det,104
momento,momento,NOUN,-,obj,201
",",",",PUNCT,-,punct,0
estar,estar,AUX,-,cop,238
presente,presente,ADJ,-,ROOT,408
me,eu,PRON,-,obj,86
fez,fazer,VERB,-,csubj,294
perceber,perceber,VERB,-,xcomp,1807
que,que,SCONJ,-,mark,7
queria,querer,VERB,-,ccomp,975
viver,viver,VERB,-,xcomp,976
mais,mais,ADV,-,advmod,25
daquilo,de aquilo,PRON,-,obj,5512
com,com,ADP,-,case,12
você,você,PRON,-,obl,54
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
E,e,CCONJ,-,cc,79
