palavra,ocorrencias,freq_per_mill,usual,ranking,ratio
estranho,1,2197.8,0.01,3193.0,219780.22
acostumou,1,2197.8,0.01,48821.0,219780.22
peculiar,1,2197.8,0.01,10762.0,219780.22
dormir,1,2197.8,0.01,2510.0,219780.22
mexendo,1,2197.8,0.01,10495.0,219780.22
cabelo,1,2197.8,0.01,1077.0,219780.22
diria,1,2197.8,0.01,6085.0,219780.22
terem,1,2197.8,0.01,1879.0,219780.22
paciência,1,2197.8,0.01,4152.0,219780.22
planejamento,1,2197.8,0.01,1756.0,219780.22
juntos,1,2197.8,0.01,1624.0,219780.22
data,1,2197.8,0.01,586.0,219780.22
certa,1,2197.8,0.01,1252.0,219780.22
compartilhem,1,2197.8,0.01,39303.0,219780.22
continuemos,1,2197.8,0.01,55417.0,219780.22
respeito,1,2197.8,0.01,566.0,219780.22
empatia,1,2197.8,0.01,10883.0,219780.22
admiração,1,2197.8,0.01,9268.0,219780.22
daria,1,2197.8,0.01,7203.0,219780.22
inteligência,1,2197.8,0.01,2817.0,219780.22
várias,1,2197.8,0.01,377.0,219780.22
pensa,1,2197.8,0.01,2951.0,219780.22
mente,1,2197.8,0.01,1259.0,219780.22
primeiramente,1,2197.8,0.01,7397.0,219780.22
unidade,1,2197.8,0.01,1057.0,219780.22
curricular,1,2197.8,0.01,9587.0,219780.22
análise,1,2197.8,0.01,711.0,219780.22
visualização,1,2197.8,0.01,6941.0,219780.22
dados,1,2197.8,0.01,254.0,219780.22
mestrado,1,2197.8,0.01,5226.0,219780.22
íamos,1,2197.8,0.01,21537.0,219780.22
ficando,1,2197.8,0.01,2040.0,219780.22
claro,1,2197.8,0.01,597.0,219780.22
tornar,1,2197.8,0.01,1153.0,219780.22
compartilhando,1,2197.8,0.01,15550.0,219780.22
nisso,1,2197.8,0.01,2943.0,219780.22
sério,1,2197.8,0.01,2784.0,219780.22
poderia,1,2197.8,0.01,587.0,219780.22
surgir,1,2197.8,0.01,5402.0,219780.22
trocar,1,2197.8,0.01,3085.0,219780.22
whatsapp,1,2197.8,0.01,12736.0,219780.22
espero,1,2197.8,0.01,2525.0,219780.22
estejamos,1,2197.8,0.01,21009.0,219780.22
ama,1,2197.8,0.01,3271.0,219780.22
contar,1,2197.8,0.01,1008.0,219780.22
admiro,1,2197.8,0.01,17852.0,219780.22
determinação,1,2197.8,0.01,3583.0,219780.22
positividade,1,2197.8,0.01,35616.0,219780.22
honestidade,1,2197.8,0.01,11659.0,219780.22
coisinhas,1,2197.8,0.01,17565.0,219780.22
comer,1,2197.8,0.01,1454.0,219780.22
bagunceira,1,2197.8,0.01,156449.0,219780.22
organizadas,1,2197.8,0.01,10282.0,219780.22
manda,1,2197.8,0.01,5516.0,219780.22
orgulhosa,1,2197.8,0.01,20741.0,219780.22
risada,1,2197.8,0.01,17454.0,219780.22
cantinho,1,2197.8,0.01,8784.0,219780.22
deita,1,2197.8,0.01,31500.0,219780.22
cozinha,1,2197.8,0.01,1035.0,219780.22
cozinho,1,2197.8,0.01,78355.0,219780.22
tese,1,2197.8,0.01,4052.0,219780.22
rápidas,1,2197.8,0.01,7819.0,219780.22
objetivas,1,2197.8,0.01,10710.0,219780.22
justificasse,1,2197.8,0.01,71068.0,219780.22
resposta,1,2197.8,0.01,845.0,219780.22
carolina,1,2197.8,0.01,67712.0,219780.22
pessoas,1,2197.8,0.01,87.0,219780.22
amo,1,2197.8,0.01,2812.0,219780.22
considerar,1,2197.8,0.01,2845.0,219780.22
bruto,1,2197.8,0.01,11089.0,219780.22
humanidades,1,2197.8,0.01,43160.0,219780.22
tranquila,1,2197.8,0.01,5112.0,219780.22
engraçadinha,1,2197.8,0.01,128525.0,219780.22
apesar,1,2197.8,0.01,787.0,219780.22
humor,1,2197.8,0.01,2915.0,219780.22
